DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EL,2019,31.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EL,2020,31.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EL,2021,32.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EL,2022,31.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2014,34.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2015,34.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2016,34.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2017,34.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2018,33.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2019,33.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2020,32.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2021,33.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2022,32.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,ES,2023,31.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2014,30.9,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2015,30.8,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2016,30.6,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2017,30.3,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2018,30.4,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2019,30.2,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2020,30.0,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2021,30.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU27_2020,2022,29.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2014,31.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2015,31.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2016,30.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2017,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2018,30.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,EU28,2019,30.6,e
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2014,25.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2015,25.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2016,25.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2017,25.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2018,25.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2019,26.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2020,26.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2021,25.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2022,26.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FI,2023,26.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2014,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2015,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2016,29.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2017,28.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2018,28.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2019,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2020,29.2,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2021,29.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,FR,2022,29.8,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2014,30.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2015,30.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2016,29.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2017,29.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2018,29.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2019,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2020,28.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2021,29.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HR,2022,28.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2014,28.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2015,28.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2016,28.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2017,28.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2018,28.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2019,28.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2020,28.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2021,27.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,HU,2022,27.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2014,31.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2015,29.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2016,29.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2017,30.6,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2018,28.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2019,28.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,IE,2020,28.3,b
